14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
14	8	8	8	8	8	8	8	8	8	8	8	8	8	14
14	8	8	8	8	8	8	8	8	8	8	8	8	8	14
14	8	8	8	8	8	8	8	8	8	8	8	8	8	14
14	8	8	8	8	8	8	8	8	8	8	8	8	8	14
14	8	8	8	8	8	8	8	8	8	8	8	8	8	14
14	8	8	8	8	8	8	8	8	8	8	8	8	8	14
14	8	8	8	8	8	8	8	8	8	8	8	8	8	14
14	8	8	8	8	8	8	8	8	8	8	8	8	8	14
14	8	8	8	8	8	8	8	8	8	8	8	8	8	14
14	8	8	8	8	8	8	8	8	8	8	8	8	8	14
14	8	8	8	8	8	8	8	8	8	8	8	8	8	14
14	8	8	8	8	8	8	8	8	8	8	8	8	8	14
14	8	8	8	8	8	8	8	8	8	8	8	8	8	14
17	17	17	17	17	17	17	19	17	17	17	17	17	17	17
